Time,Left,U
2,13760,80.2
16,13760,81.5932
29,13840,82.8595
41,13824,83.9861
54,13792,85.1414
66,13776,86.1312
78,13760,87.0328
90,13760,87.8333
102,13728,88.5211
114,13712,89.0863
126,13696,89.5209
138,13680,89.8185
150,13664,89.975
162,13648,89.9879
174,13648,89.8572
186,13632,89.5847
198,13616,89.1744
210,13584,88.6321
222,13552,87.9657
234,13552,87.1846
246,13504,86.3003
258,13504,85.3253
270,13488,84.2738
282,13488,83.1608
294,13520,82.0023
306,13552,80.815
318,13568,79.616
330,13584,78.4225
342,13600,77.2518
354,13616,76.1205
366,13648,75.045
378,13664,74.0408
390,13664,73.1223
402,13680,72.3028
414,13680,71.5939
426,13696,71.0059
438,13712,70.5473
450,13712,70.2247
462,13712,70.0426
474,13712,70.0038
486,13808,70.1087
498,13792,70.3559
510,13808,70.7419
522,13824,71.2609
534,13856,71.9057
546,13888,72.6668
558,13904,73.5335
570,13920,74.4931
582,13920,75.532
594,13920,76.6351
606,13888,77.7866
618,13888,78.97
630,13920,80.1681
642,13968,81.3639
654,13952,82.54
666,13952,83.6796
678,13936,84.7663
690,13904,85.7844
702,13872,86.7193
714,13840,87.5576
726,13808,88.2872
738,13776,88.8976
750,13760,89.38
762,13712,89.7275
774,13696,89.9351
786,13696,89.9998
798,13664,89.9207
810,13648,89.6989
822,13616,89.3376
834,13600,88.842
846,13568,88.2192
858,13552,87.4782
871,13536,86.5545
883,13504,85.6032
895,13472,84.5714
907,13488,83.4738
919,13520,82.3263
931,13552,81.1453
943,13616,79.9478
955,13584,78.7511
967,13616,77.5723
979,13632,76.4284
991,13648,75.336
1003,13664,74.3106
1015,13680,73.367
1027,13680,72.5188
1038,13680,71.8356
1051,13696,71.1559
1063,13696,70.6608
1075,13728,70.3
1087,13760,70.0787
1099,13840,70.0002
1111,13888,70.0654
1123,13920,70.2735
1135,13968,70.6215
1147,13984,71.1044
1159,14016,71.7153
1170,14032,72.3802
1182,14032,73.2102
1194,14048,74.1379
1207,14016,75.2376
1219,13984,76.3245
1231,13984,77.4643
1243,14048,78.6405
1255,14048,79.8363
1267,14064,81.0344
1279,14064,82.2177
1291,14032,83.3691
1303,14016,84.472
1315,13984,85.5106
1327,13952,86.4699
1339,13920,87.3362
1350,13888,88.0378
1363,13840,88.7412
1375,13808,89.2598
1387,13760,89.6452
1398,13728,89.8767
1411,13696,89.9963
1423,13696,89.9569
1434,13664,89.795
1446,13632,89.4834
1458,13616,89.0354
1470,13584,88.4575
1482,13568,87.7579
1494,13552,86.9467
1506,13520,86.0356
1519,13488,84.9511
1531,13488,83.8754
1543,13504,82.744
1555,13536,81.5731
1566,13552,80.4794
1579,13568,79.1805
1591,13584,77.9933
1603,13616,76.835
1615,13632,75.7222
1627,13648,74.6709
1639,13664,73.6962
1650,13680,72.8821
1662,13712,72.0925
1674,13744,71.4165
1686,13792,70.8641
1698,13824,70.443
1710,13856,70.1593
1722,13936,70.0173
1735,13984,70.0254
1746,14016,70.1638
1758,14048,70.4503
1770,14064,70.8742
1783,14080,71.4812
1795,14080,72.1695
1807,14080,72.9704
1819,14080,73.8723
1831,14048,74.8624
1843,14032,75.9265
1855,14048,77.049
1867,14096,78.2141
1879,14128,79.4048
1891,14128,80.6041
1903,14096,81.7947
1915,14080,82.9594
1927,14064,84.0817
1939,14032,85.1452
1952,14000,86.2133
1964,13968,87.1067
1976,13936,87.8978
1988,13904,88.5753
2000,13856,89.1295
2012,13808,89.5523
2024,13776,89.8378
2036,13744,89.9818
2048,13712,89.9822
2060,13680,89.8391
2072,13648,89.5544
2084,13632,89.1323
2096,13600,88.5789
2108,13568,87.9021
2120,13552,87.1116
2132,13504,86.2189
2144,13488,85.2367
2156,13488,84.1791
2168,13488,83.0615
2180,13520,81.8999
2192,13552,80.7109
2204,13568,79.5117
2216,13584,78.3195
2228,13616,77.1515
2240,13632,76.0244
2252,13696,74.9546
2264,13680,73.9573
2276,13696,73.0469
2288,13728,72.2365
2300,13760,71.5378
2312,13808,70.9608
2324,13840,70.5138
2336,13872,70.2032
2348,13952,70.0336
2360,14000,70.0072
2372,14016,70.1246
2384,14048,70.3841
2396,14080,70.7818
2408,14080,71.3122
2420,14096,71.9674
2432,14096,72.7383
2444,14064,73.6135
2456,14048,74.5806
2468,14048,75.6257
2480,14048,76.7337
2492,14096,77.8886
2504,14128,79.0739
2516,14128,80.2726
2528,14128,81.4673
2540,14112,82.6409
2552,14080,83.7765
2564,14048,84.8578
2576,14016,85.8693
2588,13984,86.7963
2600,13968,87.6256
2612,13904,88.3452
2624,13872,88.9448
2636,13824,89.4157
2648,13792,89.7512
2660,13776,89.9464
2672,13728,89.9986
2684,13696,89.907
2696,13664,89.6729
2708,13632,89.2997
2720,13600,88.7927
2732,13584,88.1593
2744,13552,87.4085
2756,13520,86.5511
2768,13504,85.5996
2780,13488,84.5675
2792,13488,83.4697
2805,13520,82.2246
2816,13552,81.1408
2828,13552,79.9433
2840,13568,78.7466
2852,13600,77.568
2864,13632,76.4243
2876,13648,75.332
2888,13664,74.3069
2900,13680,73.3637
2913,13712,72.4499
2925,13744,71.7192
2937,13776,71.1077
2949,13808,70.624
2961,13856,70.2752
2973,13888,70.0662
2985,13968,70.0001
2997,14000,70.0779
3009,14032,70.2983
3021,14048,70.6583
3033,14064,71.1526
3045,14096,71.7742
3057,14096,72.5141
3069,14080,73.3617
3081,14048,74.3048
3093,14048,75.3297
3105,14048,76.4219
3117,14112,77.5655
3129,14112,78.7441
3141,14128,79.9407
3153,14112,81.1383
3165,14096,82.3194
3177,14080,83.4672
3189,14032,84.5651
3201,14048,85.5974
3213,14032,86.5492
3225,13936,87.4067
3237,13872,88.1578
3249,13824,88.7915
3261,13792,89.2988
3273,13760,89.6723
3285,13712,89.9067
3297,13696,89.9986
3309,13696,89.9467
3321,13664,89.7518
3333,13632,89.4166
3345,13616,88.9459
3357,13584,88.3466
3369,13552,87.6273
3381,13552,86.7982
3394,13536,85.7901
3406,13504,84.7725
3418,13472,83.6862
3430,13520,82.5468
3442,13552,81.3709
3454,13552,80.1752
3466,13568,78.977
3478,13600,77.7935
3490,13632,76.6418
3502,13648,75.5383
3514,13648,74.499
3526,13680,73.5389
3538,13712,72.6716
3550,13728,71.9098
3562,13776,71.2643
3574,13808,70.7445
3586,13856,70.3578
3598,13888,70.1098
3610,13952,70.004
3622,14000,70.042
3634,14032,70.2232
3646,14064,70.5451
3658,14080,71.0029
3670,14096,71.5901
3682,14112,72.2983
3694,14112,73.1172
3706,14080,74.0352
3719,14064,75.126
3731,14064,76.2063
3743,14096,77.3412
3755,14128,78.5144
3767,14128,79.7089
3779,14128,80.9076
3791,14112,82.0933
3803,14096,83.2488
3815,14064,84.3577
3827,14032,85.4038
3839,14000,86.3722
3851,13968,87.249
3863,13920,88.0215
3875,13888,88.6786
3887,13840,89.211
3899,13808,89.6108
3911,13776,89.8724
3923,13728,89.992
3935,13696,89.9679
3947,13696,89.8005
3959,13648,89.4921
3971,13632,89.0471
3983,13600,88.4721
3995,13568,87.7751
4007,13536,86.9664
4019,13536,86.0575
4031,13504,85.0614
4043,13472,83.9926
4055,13488,82.8663
4067,13520,81.6988
4079,13552,80.5068
4091,13568,79.3076
4103,13600,78.1183
4115,13616,76.9561
4127,13632,75.8377
4139,13664,74.7791
4151,13680,73.7957
4163,13712,72.9014
4175,13744,72.1093
4187,13776,71.4306
4199,13808,70.8752
4211,13856,70.4511
4223,13888,70.1643
4235,13968,70.0189
4247,14000,70.0171
4259,14032,70.1589
4271,14048,70.4422
4283,14080,70.863
4295,14096,71.4152
4307,14096,72.0909
4319,14112,72.8803
4331,14080,73.7721
4343,14064,74.7536
4355,14064,75.8104
4367,14112,76.9275
4379,14128,78.0889
4391,14128,79.2777
4403,14128,80.4768
4415,14112,81.6692
4427,14080,82.8375
4439,14064,83.965
4451,14032,85.0355
4463,14000,86.0336
4475,13968,86.9448
4487,13936,87.7562
4499,13888,88.4561
4511,13856,89.0343
4523,13808,89.4826
4535,13776,89.7945
4547,13744,89.9655
4559,13712,89.9932
4571,13680,89.8772
4583,13648,89.6191
4595,13616,89.2226
4607,13584,88.6935
4619,13552,88.0394
4631,13552,87.2696
4643,13536,86.3953
4655,13520,85.429
4667,13488,84.3847
4679,13472,83.2772
4691,13504,82.1226
4703,13552,80.9375
4715,13568,79.7389
4727,13616,78.5441
4739,13632,77.3702
4751,13632,76.2341
4763,13648,75.1522
4775,13680,74.14
4787,13712,73.2121
4799,13760,72.3819
4811,13792,71.6611
4823,13824,71.0604
4835,13856,70.5882
4847,13904,70.2514
4859,13920,70.0547
4871,14000,70.0012
4883,14032,70.0914
4895,14048,70.3242
4907,14080,70.6961
4919,14096,71.2018
4931,14112,71.8341
4943,14128,72.5838
4955,14112,73.4402
4967,14080,74.3909
4979,14064,75.4223
4991,14064,76.5196
5004,14128,77.7642
